관광지명,위도,경도,소재지주소
인천도호부청사,37.4393787,126.6868134,인천광역시 미추홀구 매소홀로 589
신륵사관광지,37.29742583,127.6599364,경기도 여주시 신륵사길 73
송도해상케이블카,35.07664334,129.0233986,부산광역시 서구 송도해변로 171
송도해수욕장,35.07682117,129.0180502,부산광역시 서구 송도해변로 100
암남공원,35.0616574,129.0149368,부산광역시 서구 암남공원로 185
구덕문화공원,35.12641369,129.005742,부산광역시 서구 꽃마을로 163번길 73
속초해수욕장,38.19014712,128.603531,강원도 속초시 해오름로 186
척산온천,38.190269,128.5407013,강원도 속초시 관광로 327
설악한화리조트,38.21030027,128.5287216,강원도 속초시 미시령로 2983번길 111
탑산약수온천,36.30396195,128.5892642,경상북도 의성군 봉양면 도리원2길 88-42
구곡폭포,37.797033,127.615852,강원특별자치도 춘천시 남산면 강촌구곡길 254
춘천호반,37.825714,127.659368,강원특별자치도 춘천시 서면 경춘로 1401-25
청평사(춘천),37.986071,127.808407,강원특별자치도 춘천시 북산면 오봉산길 810
신영,37.747692,127.725507,강원특별자치도 춘천시 동산면 종자리로 148-16
라비에벨,37.741217,127.75782,강원특별자치도 춘천시 동산면 종자리로 436
누리천문대,37.33028283,126.9153444,경기도 군포시 대야2로 139
내원사계곡(내원사),35.44578536,129.1104508,경상남도 양산시 하북면 내원로 207
대운산자연휴양림,35.41784975,129.2088996,경상남도 양산시 탑골길 270
법기수원지,35.34825271,129.1079758,경상남도 양산시 동면 법기로 198-13
양산시립박물관,35.35849531,129.0490358,경상남도 양산시 북정로 78
양산타워,35.32591877,129.0240164,경상남도 양산시 동면 강변로 264
에덴밸리,35.42905699,128.9844664,경상남도 양산시 원동면 어실로 1206
간현관광지,37.36489327,127.832544,강원도 원주시 지정면 소금산길 26
기독교선교100주년기념관,35.04305027,127.6604508,전라남도 광양시 진상면 성지로 399
경천대관광지,36.45722382,128.2478641,경상북도 상주시 사벌국면 경천로 652
회상나루관광지,36.44187503,128.2657793,경상북도 상주시 중동면 갱다불길 97
대천해수욕장,36.31554012,126.5108563,충청남도 보령시 머드로 123
무창포해수욕장,36.24457737,126.5365426,충청남도 보령시 웅천읍 열린바다1길 10
천지연폭포,33.2447447,126.5595511,제주특별자치도 서귀포시 남성중로 2-15(서홍동)
정방폭포,33.24474912,126.5730486,제주특별자치도 서귀포시 칠십리로214번길 37(동홍동)
주상절리대,33.23799399,126.4260174,제주특별자치도 서귀포시 이어도로 36-30(중문동)
장림포구,35.07915955,128.9513486,부산광역시 사하구 장림로 93번길 72(장림동)
미륵사지관광지,36.01154232,127.0287139,전라북도 익산시 금마면 미륵사지로 362
왕궁보석테마 관광지,35.99061279,127.1025486,전라북도 익산시 왕궁면 호반로 8
웅포관광지,36.06581391,126.8754193,전라북도 익산시 웅포면 강변로 25
소요산관광지,37.94652177,127.0693409,경기도 동두천시 평화로2910번길 145
느랭이골자연리조트,35.06003247,127.7114041,전라남도 광양시 토끼재길 119-32
구봉산전망대,34.93646837,127.6427008,전라남도 광양시 구봉산전망대길 155
광양항해양공원,34.92127751,127.6939636,전라남도 광양시 중동 1894
무지개다리,34.93679857,127.715141,전라남도 광양시 금호동 625-1
해오름육교,34.93442662,127.7061606,전라남도 광양시 마동 1125
용머리해안,33.23342738,126.3136956,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30
감귤박물관,33.27159304,126.6074285,제주특별자치도 서귀포시 효돈순환로 441(신효동)
벽계관광지,35.42604967,128.2080942,경상남도 의령군 궁류면 벽계로 201
치산관광지,36.04693281,128.712821,경상북도 영천시 신녕면 신암길 17
대가야생활촌,35.7118532,128.269244,경상북도 고령군 대가야읍 신남로 81
대가야역사테마관광지,35.72008263,128.2596761,경상북도 고령군 대가야읍 대가야로 1216
장성호관광지,35.41373254,126.8508186,전라남도 장성군 북하면 백양로 591-4
홍길동테마파크,35.31862071,126.7265578,전라남도 장성군 황룡면 홍길동로 431
소래포구,37.3988308,126.7403795,인천광역시 남동구 포구로 2-9(논현동)
소래습지생태공원,37.40736572,126.7463366,인천광역시 남동구 소래로 154번길 77(논현동)
소래철교,37.3988308,126.7403795,인천광역시 남동구 포구로 2-9(논현동)
나주시천연염색박물관,34.99403168,126.6625254,전라남도 나주시 다시면 백호로 379
나주목문화관,35.03232804,126.7157031,전라남도 나주시 금성관길 15
별밤미술관 in 신창,35.19467258,126.8452966,광주광역시 광산구 왕버들로 331
별밤미술관 in 선운,35.14604759,126.7732908,광주광역시 광산구 선운로2번길 40
곡성기차당 뚝방마켓,35.27976851,127.2984376,전라남도 곡성군 곡성읍 곡성로 856
가정역(섬진강출렁다리),35.23018353,127.3682034,전라남도 곡성군 오곡면 섬진강로 1465
도림사오토갬핑리조트,35.26209959,127.2668616,전라남도 곡성군 곡성읍 도림로 74
청계동솔바람야영장,35.31107436,127.2623887,전라남도 곡성군 곡성읍 청계동로 415
한국대나무박물관,35.30934367,126.9764088,전라남도 담양군 담양읍 죽향문화로 35
한국가사문학관,35.18796216,127.0054858,전라남도 담양군 가사문학면 가사문학로 877
슬로시티삼지내마을,35.23522516,127.0178498,전라남도 담양군 창평면 돌담길 56-24
후곡약수터,38.16733552,128.0573744,강원특별자치도 양구군 동면 약수터길 90-1
